"";"T1";"T2";"T3";"T4"
"Belo Horizonte";0,3;0,35;0,31;0,04
"Brasília";0,94;0,03;0,03;0,01
"Juazeiro do Norte";0,75;0,05;0,13;0,07
"Marabá";0,52;0,1;0,23;0,15
"Porto Alegre";0,48;0,34;0,07;0,11
"Recife";0,16;0,43;0,08;0,33
